symbol,date,open,high,low,close,ma5,ma20,ma60
1815,2026-05-06,117.5,122.0,111.0,113.5,113.5,113.5,113.5
1815,2026-05-07,115.5,117.5,110.0,110.0,111.75,111.75,111.75
1815,2026-05-08,110.0,110.5,105.0,107.0,110.1667,110.1667,110.1667
1815,2026-05-11,108.0,114.0,107.0,110.5,110.25,110.25,110.25
1815,2026-05-12,111.0,113.0,108.0,108.0,109.8,109.8,109.8
3105,2026-05-06,555.0,556.0,499.5,500.0,500.0,500.0,500.0
3105,2026-05-07,496.0,522.0,473.0,500.0,500.0,500.0,500.0
3105,2026-05-08,494.5,518.0,481.5,492.5,497.5,497.5,497.5
3105,2026-05-11,500.0,538.0,493.5,526.0,504.625,504.625,504.625
3105,2026-05-12,555.0,559.0,510.0,512.0,506.1,506.1,506.1
3211,2026-05-06,365.0,376.0,355.5,374.5,374.5,374.5,374.5
3211,2026-05-07,379.5,394.0,375.0,384.0,379.25,379.25,379.25
3211,2026-05-08,385.5,398.5,370.0,381.5,380.0,380.0,380.0
3211,2026-05-11,385.5,417.0,384.5,403.0,385.75,385.75,385.75
3211,2026-05-12,415.0,430.0,399.0,402.0,389.0,389.0,389.0
3260,2026-05-06,473.5,487.0,455.5,461.5,461.5,461.5,461.5
3260,2026-05-07,478.5,494.0,461.5,461.5,461.5,461.5,461.5
3260,2026-05-08,454.0,466.5,435.0,448.5,457.1667,457.1667,457.1667
3260,2026-05-11,464.5,469.0,454.5,457.0,457.125,457.125,457.125
3260,2026-05-12,461.0,464.5,444.0,445.5,454.8,454.8,454.8
3374,2026-05-06,205.5,205.5,192.5,199.0,199.0,199.0,199.0
3374,2026-05-07,201.0,217.5,197.0,206.0,202.5,202.5,202.5
3374,2026-05-08,203.0,226.5,202.5,226.5,210.5,210.5,210.5
3374,2026-05-11,242.5,249.0,239.0,249.0,220.125,220.125,220.125
3374,2026-05-12,248.0,265.0,236.5,255.5,227.2,227.2,227.2
3529,2026-05-06,4360.0,4400.0,4005.0,4400.0,4400.0,4400.0,4400.0
3529,2026-05-07,4335.0,4785.0,4245.0,4705.0,4552.5,4552.5,4552.5
3529,2026-05-08,4640.0,4650.0,4235.0,4335.0,4480.0,4480.0,4480.0
3529,2026-05-11,4370.0,4665.0,4295.0,4460.0,4475.0,4475.0,4475.0
